ID,PQ 1,PQ 2,PQ 3,PQ 4,PQ 5,PQ 6,PQ 7,HQ-I 1,HQ-I 2,HQ-I 3,HQ-I 4,HQ-I 5,HQ-I 6,HQ-I 7,HQ-S 1,HQ-S 2,HQ-S 3,HQ-S 4,HQ-S 5,HQ-S 6,HQ-S 7,ATT 1,ATT 2,ATT 3,ATT 4,ATT 5,ATT 6,ATT 7
1,5,7,1,7,7,7,7,4,2,3,3,7,4,6,3,3,2,3,3,5,5,4,4,5,5,5,4,6
2,3,7,7,6,6,6,6,5,4,5,1,5,5,5,2,4,3,3,3,2,2,5,3,4,4,4,4,3
3,6,6,3,6,6,6,6,6,5,6,6,6,6,6,5,5,4,5,6,5,5,6,6,6,6,6,6,6
4,6,4,5,5,5,5,4,6,7,7,3,5,,7,7,7,5,6,6,5,7,6,7,7,7,6,5,7
5,6,5,6,6,6,4,3,5,2,7,3,6,5,6,6,6,4,5,6,3,4,5,7,6,7,6,6,4
6,4,6,5,6,5,4,5,4,3,3,4,5,5,5,5,5,4,4,6,5,5,4,5,5,5,6,5,6
7,6,7,6,6,5,7,7,3,5,5,4,5,5,7,6,2,2,4,3,3,3,5,5,6,6,6,6,5
8,4,5,4,5,3,4,5,4,4,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4
9,4,6,,3,5,,6,3,5,5,3,4,5,5,5,6,3,6,5,5,6,5,6,5,5,6,5,4
10,5,5,6,7,7,5,4,5,5,4,4,5,4,6,2,1,2,3,1,2,2,4,4,4,3,4,2,2
11,6,6,5,5,5,7,6,6,5,6,1,6,6,6,6,6,6,,6,2,6,6,7,5,6,6,6,7
12,4,6,5,5,5,6,6,5,4,4,4,4,5,6,5,5,4,5,5,5,5,5,5,6,5,6,6,5
13,5,7,7,7,7,7,7,4,3,4,4,4,4,6,2,3,3,3,5,4,2,7,5,6,6,7,6,7
14,3,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,4,5,6,6,6,6,6,6
15,6,6,7,7,6,6,7,4,5,6,2,4,4,6,5,6,5,5,5,5,5,6,6,6,7,6,7,7
16,5,7,7,7,7,7,7,5,7,5,1,7,7,7,7,7,7,6,7,5,6,7,6,7,7,7,7,7
17,6,7,7,7,7,6,7,4,2,5,2,5,4,7,6,5,5,5,5,3,5,5,5,6,6,6,6,6
18,4,5,5,6,6,6,6,6,4,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
19,5,6,5,4,4,6,5,5,5,5,5,6,5,5,5,5,5,5,4,4,5,5,5,4,5,5,6,5
20,6,7,7,7,6,6,6,6,3,3,4,5,5,5,4,4,3,5,5,3,4,4,4,5,6,5,5,6
21,6,7,6,6,7,7,7,4,5,5,1,4,5,6,4,5,3,3,6,2,3,6,6,6,6,6,5,5
22,5,6,6,6,3,6,2,4,3,2,4,4,4,5,2,3,4,2,3,7,3,3,3,3,3,5,3,2
