"","x"
"1","timestamp"
"2","platform"
"3","age"
"4","gender"
"5","occupation"
"6","live"
"7","living_situation"
"8","age.1"
"9","gender.1"
"10","occupation.1"
"11","live.1"
"12","living_situation.1"
"13","age.2"
"14","gender.2"
"15","occupation.2"
"16","live.2"
"17","living_situation.2"
"18","netflix_USE_1"
"19","netflix_USE_2"
"20","netflix_USE_3"
"21","netflix_USE_4"
"22","netflix_USE_5"
"23","netflix_USE_6"
"24","netflix_USE_7"
"25","netflix_USE_8"
"26","netflix_USE_9"
"27","netflix_USE_10"
"28","netflix_USE_11"
"29","netflix_USE_12"
"30","netflix_USE_13"
"31","netflix_USE_14"
"32","netflix_USE_15"
"33","netflix_USE_16"
"34","netflix_USE_17"
"35","netflix_USE_18"
"36","netflix_USE_19"
"37","netflix_USE_20"
"38","netflix_USE_21"
"39","netflix_USE_22"
"40","netflix_USE_open1"
"41","netflix_USE_open2"
"42","netflix_sub_period"
"43","netflix_sub_motivation"
"44","netflix_share_who"
"45","netflix_who_pay"
"46","netflix_keep_sub"
"47","netflix_what_watch"
"48","netflix_frequency_watch"
"49","netflix_pandemic_use"
"50","netflix_open_pandemic"
"51","prime_USE_1"
"52","prime_USE_2"
"53","prime_USE_3"
"54","prime_USE_4"
"55","prime_USE_5"
"56","prime_USE_6"
"57","prime_USE_7"
"58","prime_USE_8"
"59","prime_USE_9"
"60","prime_USE_10"
"61","prime_USE_11"
"62","prime_USE_12"
"63","prime_USE_13"
"64","prime_USE_14"
"65","prime_USE_15"
"66","prime_USE_16"
"67","prime_USE_17"
"68","prime_USE_18"
"69","prime_USE_19"
"70","prime_USE_20"
"71","prime_USE_21"
"72","prime_USE_22"
"73","prime_USE_open1"
"74","prime_USE_open2"
"75","prime_sub_period"
"76","prime_sub_motivation"
"77","prime_share_who"
"78","prime_who_pay"
"79","prime_keep_sub"
"80","prime_what_watch"
"81","prime_frequency_watch"
"82","prime_pandemic_use"
"83","prime_open_pandemic"
"84","netflix_USE_1.1"
"85","netflix_USE_2.1"
"86","netflix_USE_3.1"
"87","netflix_USE_4.1"
"88","netflix_USE_5.1"
"89","netflix_USE_6.1"
"90","netflix_USE_7.1"
"91","netflix_USE_8.1"
"92","netflix_USE_9.1"
"93","netflix_USE_10.1"
"94","netflix_USE_11.1"
"95","netflix_USE_12.1"
"96","netflix_USE_13.1"
"97","netflix_USE_14.1"
"98","netflix_USE_15.1"
"99","netflix_USE_16.1"
"100","netflix_USE_17.1"
"101","netflix_USE_18.1"
"102","netflix_USE_19.1"
"103","netflix_USE_20.1"
"104","netflix_USE_21.1"
"105","netflix_USE_22.1"
"106","netflix_USE_open1.1"
"107","netflix_USE_open2.1"
"108","netflix_sub_period.1"
"109","netflix_sub_motivation.1"
"110","netflix_share_who.1"
"111","netflix_who_pay.1"
"112","netflix_keep_sub.1"
"113","netflix_what_watch.1"
"114","netflix_frequency_watch.1"
"115","netflix_pandemic_use.1"
"116","netflix_open_pandemic.1"
"117","prime_USE_1.1"
"118","prime_USE_2.1"
"119","prime_USE_3.1"
"120","prime_USE_4.1"
"121","prime_USE_5.1"
"122","prime_USE_6.1"
"123","prime_USE_7.1"
"124","prime_USE_8.1"
"125","prime_USE_9.1"
"126","prime_USE_10.1"
"127","prime_USE_11.1"
"128","prime_USE_12.1"
"129","prime_USE_13.1"
"130","prime_USE_14.1"
"131","prime_USE_15.1"
"132","prime_USE_16.1"
"133","prime_USE_17.1"
"134","prime_USE_18.1"
"135","prime_USE_19.1"
"136","prime_USE_20.1"
"137","prime_USE_21.1"
"138","prime_USE_22.1"
"139","prime_USE_open1.1"
"140","prime_USE_open2.1"
"141","prime_sub_period.1"
"142","prime_sub_motivation.1"
"143","prime_share_who.1"
"144","prime_who_pay.1"
"145","prime_keep_sub.1"
"146","prime_what_watch.1"
"147","prime_frequency_watch.1"
"148","prime_pandemic_use.1"
"149","prime_open_pandemic.1"
"150","device"
"151","reason_to_watch"
"152","influence_searching"
"153","final_open"
