"","id","timestamp","platform","age","gender","occupation","country","cohabitation","N_USE1","N_USE2","N_USE3","N_USE4","N_USE5","N_USE6","N_USE7","N_USE8","N_USE9","N_USE10","N_USE11","N_USE12","N_USE13","N_USE14","N_USE15","N_USE16","N_USE17","N_USE18","N_USE19","N_USE20","N_USE21","N_USE22","N_subscription","N_motivation","N_share","N_pay","N_lockdown","N_watch","N_frequency","N_pandemic","PV_USE1","PV_USE2","PV_USE3","PV_USE4","PV_USE5","PV_USE6","PV_USE7","PV_USE8","PV_USE9","PV_USE10","PV_USE11","PV_USE12","PV_USE13","PV_USE14","PV_USE15","PV_USE16","PV_USE17","PV_USE18","PV_USE19","PV_USE20","PV_USE21","PV_USE22","PV_subscription","PV_motivation","PV_share","PV_pay","PV_lockdown","PV_watch","PV_frequency","PV_pandemic","device","reasons","influencing_factors"
"3",1,"17/04/2022 16.58.50","Both platforms","24-29","Male","Student","Italy","I live by myself",6,5,3,4,2,4,6,3,5,5,4,6,7,5,4,5,6,4,3,3,1,5,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, Documentaries",4.2,"About the same use before and after the pandemic started",5,5,4,5,5,4,6,4,5,5,5,5,7,6,4,4,4,4,5,3,2,4,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies",2,"About the same use before and after the pandemic","TV, Desktop PC, Laptop","Learn something new, Release stress","Casting, Film director, Platform recommendations, Awarded shows"
"4",2,"17/04/2022 18.56.19","Both platforms","18-23","Female","Student","Italy","University's dormitory",5,6,4,6,3,3,7,6,5,2,2,5,7,5,5,5,6,4,3,5,4,5,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows, Animated films / Cartoons",5.6,"I used it way more when the pandemic was more intense (lockdown period and the following months, until september 2021)",4,5,4,2,5,4,6,6,6,4,6,5,6,4,5,5,5,3,2,4,3,4,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, TV shows",2,"I use Prime Video more since the pandemic started","Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Release stress","Casting, Title, Graphics, Awarded shows, Friends recommendations"
"5",3,"17/04/2022 20.15.15","Both platforms","24-29","Male","Student","Italy","I share a flat with roommates",6,6,5,7,4,6,7,7,7,6,7,7,7,6,6,6,7,5,4,4,2,3,"After the pandemic started (from February, 2020)","A particular movie/show I wanted to watch (i.e.; La casa de Papel, Black Mirror, Stranger Things, Someone shared their accounts with me so I could use Netflix for free","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, TV shows, Documentaries, Animated films / Cartoons",5.6,"I use Netflix more since the pandemic started",6,6,5,6,4,6,6,6,6,5,6,6,5,5,5,5,5,3,5,4,2,3,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","Movies, TV shows, Documentaries",3,"I use Prime Video more since the pandemic started","Laptop, Smartphone","Spend time with your partner/friends/family","Graphics, Platform recommendations, Awarded shows, Top 10"
"6",4,"17/04/2022 23.17.51","Both platforms","24-29","Female","Student","Italy","I live with my parents",7,6,6,4,4,6,7,5,3,6,7,7,7,7,7,5,4,5,4,4,3,4,"Before the pandemic started (before February, 2020)","i did it before","Yes, with my family","No","Yes, I am still a Netflix's user","tv series",5.6,"About the same use before and after the pandemic started",3,3,1,5,4,3,6,3,2,6,4,3,3,4,2,2,2,2,3,1,1,3,"Before the pandemic started (before February, 2020)","i did it before","Yes, with my family","No","Yes, I am still a Prime Video's user","tv series",1,"About the same use before and after the pandemic","TV, Laptop","Spend time with your partner/friends/family, Pass the time","Platform recommendations, Friends recommendationd"
"9",5,"18/04/2022 20.14.02","Both platforms","18-23","Female","Student","Italy","I share a flat with roommates",7,7,6,6,7,5,6,7,7,7,5,7,7,7,7,6,7,4,4,4,5,7,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",5.6,"About the same use before and after the pandemic started",7,6,5,6,5,6,6,5,6,6,6,7,7,7,7,6,5,4,5,3,3,6,"Before the pandemic started (before February, 2020)","","Yes, with my partner","No","Yes, I am still a Prime Video's user","Movies, TV shows / series",4,"I use Prime Video less than the time before the pandemic started","TV, Desktop PC, Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Title, Graphics, Platform recommendations, Friends' recommendation, Top 10"
"13",6,"18/04/2022 21.04.52","Both platforms","18-23","Male","Student, Employed","Italy","I live with my parents",7,6,5,6,5,6,6,5,5,5,6,7,7,7,7,7,6,6,6,5,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series",4.2,"About the same use before and after the pandemic started",5,4,4,4,5,5,6,5,5,4,5,6,6,5,6,5,4,5,5,6,2,4,"After the pandemic started (from February, 2020)","I had the possibility to use Prime Video together with other Amazon products","No","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",2,"I can't remember","Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Release stress","Film director, Title, Friends' recommendation"
"14",7,"18/04/2022 21.14.29","Both platforms","24-29","Male","Student, Employed","Finland","I share a flat with roommates",7,7,7,7,7,7,7,6,7,7,5,7,7,7,7,6,7,6,7,7,7,7,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, TV shows / series",7,"About the same use before and after the pandemic started",6,6,5,4,6,6,6,5,7,6,5,7,7,6,6,6,7,7,6,6,2,6,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies, TV shows / series",7,"About the same use before and after the pandemic","TV, Laptop","Spend time with your partner/friends/family, Learn something new, Pass the time, Keeping myself up to date with trending content, Release stress","Cast, Film director, Title, Graphics, Friends' recommendation, Award winning shows, New Release"
"16",8,"18/04/2022 21.51.09","Both platforms","24-29","Male","Unemployed","Italy","I live with my parents",6,6,5,4,4,5,6,6,5,6,7,7,7,5,6,5,5,3,5,3,3,4,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series",5.6,"About the same use before and after the pandemic started",3,4,4,3,6,4,6,5,5,5,6,7,6,5,7,5,5,3,4,3,3,4,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",5,"I use Prime Video more since the pandemic started","TV, Desktop PC, Laptop, Tablet","Learn something new, Pass the time, Keeping myself up to date with trending content, Release stress","Cast, Film director, Title, Graphics, Award winning shows"
"18",9,"18/04/2022 22.09.40","Both platforms","36-41","Male","Employed","Spain","I live by myself",6,6,5,5,5,4,7,2,5,4,3,6,7,7,7,1,1,3,4,1,1,4,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","No","My brother in law’s account ","TV shows / series",1.4,"Less content available now",6,6,5,4,4,4,7,5,5,5,5,7,7,7,7,5,5,5,4,3,1,4,"Before the pandemic started (before February, 2020)","Not applicable","No","Yes student account I wouldn’t pay full price","Yes, I am still a Prime Video's user","Movies, TV shows / series",4,"About the same use before and after the pandemic","TV","Pass the time","Title"
"19",10,"18/04/2022 22.32.33","Both platforms","24-29","Male","Employed","Italy","I live with my spouse or partner",7,7,7,6,5,6,7,6,7,7,7,7,7,7,7,6,7,6,6,6,6,7,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my friends, Yes, with my partner","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",7,"I use Netflix more since the pandemic started",7,7,7,5,6,6,7,5,7,6,7,7,7,7,7,6,7,6,7,5,5,6,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",3,"About the same use before and after the pandemic","TV","Spend time with your partner/friends/family, Learn something new, Pass the time, Keeping myself up to date with trending content","Title, Graphics, Platform recommendations, Friends' recommendation, Award winning shows, New Release, Top 10"
