Informazioni cronologiche,Which of these streaming platforms have you used or are currently using?,What is your age?,What gender do you most identify as?,Which of these describe you?,Where do you live?,What’s your current living situation?,What is your age?,What gender do you most identify as?,Which of these status describe you?,Where do you live?,What’s your current living situation?,What is your age?,What gender do you most identify as? ,Which of these status describe you?,Where do you live?,What’s your current living situation?,It is easy to use,It is simple to use,It is user friendly,It requires the fewest steps possible to accomplish what I want to do with it,It is flexible,Using it is effortless,I can use it without written instructions,I don't notice any inconsistencies as I use it,Both occasional and regular users would like it,I can recover from mistakes quickly and easily,I can use it successfully every time,I learned to use it quickly,I easily remember how to use it,It is easy to learn to use it,I quickly became skillful with it,I am satisfied with it,I would recommend it to a friend,It is fun to use,It works the way I want it to work,It is wonderful,I feel I need to have it,It is pleasant to use,List the most negative aspect(s) of Netflix,List the most positive aspect(s) of Netflix,When did you subscribe to Netflix?,"If you subscribed to Netflix AFTER the pandemic started, what motivated you to do it?",Do you share your Netflix account with someone else?,Are you paying for the subscription to Netflix?,Did you keep your subscription once the lockdown ended?,What type of products do you usually watch on Netflix? ,How frequently do you use Netflix?,"Overall, when you compare to how you used Netflix before and after the pandemic started, what is more suitable to you:",Is there anything else regarding the use of Netflix and the Pandemic that you'd like to share with us that we haven't covered?,It is easy to use,It is simple to use,It is user friendly,It requires the fewest steps possible to accomplish what I want to do with it,It is flexible,Using it is effortless,I can use it without written instructions,I don't notice any inconsistencies as I use it,Both occasional and regular users would like it,I can recover from mistakes quickly and easily,I can use it successfully every time,I learned to use it quickly,I easily remember how to use it,It is easy to learn to use it,I quickly became skillful with it,I am satisfied with it,I would recommend it to a friend,It is fun to use,It works the way I want it to work,It is wonderful,I feel I need to have it,It is pleasant to use,List the most negative aspect(s) of Prime Video,List the most positive aspect(s) of Prime Video,When did you subscribe to Prime Video?,"If you subscribed to Prime Video AFTER the pandemic started, what motivated you to do it?",Do you share your Prime Video account with someone else?,Are you paying for the subscription to Prime Video?,Did you keep your subscription to Prime Video once the lockdown ended?,What type of products do you usually watch on Prime Video? ,How frequently do you use Prime Video?,"Overall, when you compare to how you used Prime Video before and after the pandemic started, what is more suitable to you:",Is there anything else regarding the use of Prime Video and the Pandemic that you'd like to share with us that we haven't covered?,Netflix is easy to use,Netflix is simple to use,Netflix is user friendly,Netflix requires the fewest steps possible to accomplish what I want to do with it,Netflix is flexible,Using Netflix is effortless,I can use Netflix without written instructions,I don't notice any inconsistencies as I use Netflix,Both occasional and regular users would like Netflix,I can recover from mistakes quickly and easily,I can use Netflix successfully every time,I learned to use Netflix quickly,I easily remember how to use Netflix,Netflix is easy to learn to use it,I quickly became skillful with it,I am satisfied with Netflix,I would recommend Netflix to a friend,Netflix is fun to use,Netflix works the way I want it to work,Netflix is wonderful,I feel I need to have Netflix,Netflix is pleasant to use,List the most negative aspect(s) of Netflix,List the most positive aspect(s) of Netflix,When did you subscribe to Netflix?,"If you subscribed to Netflix AFTER the pandemic started, what motivated you to do it?",Do you share your Netflix account with someone else?,Are you paying for the subscription to Netflix?,Did you keep your subscription once the lockdown ended? ,What type of products do you usually watch on Netflix? ,How frequently do you use Netflix?,"Overall, when you compare to how you used Netflix before the pandemic and after, what is more suitable to you:",Is there anything else regarding the use of Netflix and the Pandemic that you'd like to share with us that we haven't covered?,Prime Video is easy to use,Prime Video is simple to use,Prime Video is user friendly,Prime Video requires the fewest steps possible to accomplish what I want to do with it,Prime Video is flexible,Using Prime Video is effortless,I can use Prime Video without written instructions,I don't notice any inconsistencies as I use Prime Video,Both occasional and regular users would like Prime Video,I can recover from mistakes quickly and easily,I can use Prime Video successfully every time,I learned to use Prime Video quickly,I easily remember how to use Prime Video,It is easy to learn to use Prime Video,I quickly became skillful with Prime Video,I am satisfied with Prime Video,I would recommend Prime Video to a friend,Prime Video is fun to use,Prime Video works the way I want it to work,Prime Video is wonderful,I feel I need to have Prime Video,Prime Video is pleasant to use,List the most negative aspect(s) of Prime Video,List the most positive aspect(s) of Prime Video,When did you subscribe to Prime Video?,"If you subscribed to Prime Video AFTER the pandemic started, what motivated you to do it?",Do you share your Prime Video account with someone else?,Are you paying for the subscription to Prime Video?,Did you keep your subscription to Prime Video once the lockdown ended?,What type of products do you usually watch on Prime Video? ,How frequently do you use Prime Video?,"Overall, when you compare to how you used Prime Video before the pandemic and after, what is more suitable to you:",Is there anything else regarding the use of Prime Video and the Pandemic that you'd like to share with us that we haven't covered?,Which device(s) do you use when streaming the content of these platforms?,Watching content on streaming platforms for you is a way to:,Which of these factors influence you the most when searching for content to watch on streaming platforms?,Do you have any consideration or thought about streaming platforms that want to share with us?
17/04/2022 15.21.17,Amazon Prime Video,,,,,,18-23,Female,Student,Italy,I share a flat with roommates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,6,7,5,7,6,5,5,5,4,5,6,6,6,7,7,7,5,5,6,Listing multiple films and series requiring extra payments,Affordable in terms of use,"After the pandemic started (from February, 2020)","Considering that I was restricted to home isolation, I wanted to entertain myself with Prime Video's content, I had the possibility to subscribe to Prime Video for a discounted rate","Yes, with my family","Yes, but not the entire fee","Yes, I am still a Prime Video's user",Movies,3,I use Prime Video less than the time before the pandemic started,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TV, Desktop PC, Laptop, Tablet, Smartphone",Spend time with your partner/friends/family,"Title, New Release",Availability of movies in different languages
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
17/04/2022 16.58.50,Both platforms,,,,,,,,,,,24-29,Male,Student,Italy,I live by myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,3,4,2,4,6,3,5,5,4,6,7,5,4,5,6,4,3,3,1,5,,,"Before the pandemic started (before February, 2020)",,"Yes, with my family",No,"Yes, I am still a Netflix's user","Movies, Documentaries",3,About the same use before and after the pandemic started,,5,5,4,5,5,4,6,4,5,5,5,5,7,6,4,4,4,4,5,3,2,4,,,"Before the pandemic started (before February, 2020)",,"Yes, with my family",No,"Yes, I am still a Prime Video's user",Movies,2,About the same use before and after the pandemic,,"TV, Desktop PC, Laptop","Learn something new, Release stress","Casting, Film director, Platform recommendations, Awarded shows",
17/04/2022 18.56.19,Both platforms,,,,,,,,,,,18-23,Female,Student,Italy,University's dormitory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,6,3,3,7,6,5,2,2,5,7,5,5,5,6,4,3,5,4,5,"Pretty pricy, it's very hard to find new tv shows/movies (other than very popular ones or ones that are similar to already seen ones), viewing activity is not simple to find (or to delete, for example when I accidentally start a film that I don't want to see or if I change my mind about a tv show), it's not possible to download movies on a computer (only on mobile devices). The homepage is a bit crowded","Huge catalogue, option to share an account with friends (to lower the price per month), possibility to save shows. information about a movie is easy to find and read. Below any film, there are similar ones listed. Very easy to switch from one language to another (both with audio and subtitles), and to switch from one episode to another one. ","Before the pandemic started (before February, 2020)",,"Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows, Animated films / Cartoons",4,"I used it way more when the pandemic was more intense (lockdown period and the following months, until september 2021)",I don't think so,4,5,4,2,5,4,6,6,6,4,6,5,6,4,5,5,5,3,2,4,3,4,"Tv shows' seasons are separated from each other on the homepage (different from Netflix or Disney+ for example). Many movies/tv-shows are not accessible with the standard monthly payment, but they need to be paid for individually.
If you want to change the episode you can just skip to the next one.",Possibility to watch a movie/tv show with friends online (video Party). Lots of information is available and easy to read. Easy to change the language. Possibility to choose the video quality. Possibility to download content also on a pc,"Before the pandemic started (before February, 2020)",,"Yes, with my family",Yes,"Yes, I am still a Prime Video's user","Movies, TV shows",2,I use Prime Video more since the pandemic started,Not strictly about the pandemic but still: I had Prime Video also before the pandemic (just because in my family we wanted the amazon prime's shipping features) but I started using it a bit more during it,"Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Release stress","Casting, Title, Graphics, Awarded shows, Friends recommendations","Sometimes this kind of platform tends to lower the possibilities of discovering something completely new, unless you purposefully go in search of it"
17/04/2022 20.15.15,Both platforms,,,,,,,,,,,24-29,Male,Student,Italy,I share a flat with roommates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,7,4,6,7,7,7,6,7,7,7,6,6,6,7,5,4,4,2,3,,,"After the pandemic started (from February, 2020)","A particular movie/show I wanted to watch (i.e.; La casa de Papel, Black Mirror, Stranger Things, Someone shared their accounts with me so I could use Netflix for free","Yes, with my family",No,"Yes, I am still a Netflix's user","Movies, TV shows, Documentaries, Animated films / Cartoons",4,I use Netflix more since the pandemic started,,6,6,5,6,4,6,6,6,6,5,6,6,5,5,5,5,5,3,5,4,2,3,,,"Before the pandemic started (before February, 2020)",,No,Yes,"Yes, I am still a Prime Video's user","Movies, TV shows, Documentaries",3,I use Prime Video more since the pandemic started,,"Laptop, Smartphone",Spend time with your partner/friends/family,"Graphics, Platform recommendations, Awarded shows, Top 10",
17/04/2022 23.17.51,Both platforms,,,,,,,,,,,24-29,Female,Student,Italy,I live with my parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,4,4,6,7,5,3,6,7,7,7,7,7,5,4,5,4,4,3,4,"Often the movies / series are repeated over and over on the search page.
The main page, the one where to look for something to see, is too full of information and in my opinion this does not help the choice of the film / series at all.","I like that there is the possibility to be inspired by netflix for the choice of films, also thanks to the special function that starts a random film / series","Before the pandemic started (before February, 2020)",i did it before,"Yes, with my family",No,"Yes, I am still a Netflix's user",tv series,4,About the same use before and after the pandemic started,,3,3,1,5,4,3,6,3,2,6,4,3,3,4,2,2,2,2,3,1,1,3,"I don't like the interface and how the information is presented, when I go on prime it is because I know that there is something only there, otherwise it is not an application that I am looking for or that I use daily.
It all seems super confusing and meaningless to me, very badly organized.

Then even the search ""for you"" does not seem to make much sense, I never find films / series related to what I have seen previously.","Prime for me has nothing positive, as mentioned in the previous question, it is not an application that I use on a daily basis.","Before the pandemic started (before February, 2020)",i did it before,"Yes, with my family",No,"Yes, I am still a Prime Video's user",tv series,1,About the same use before and after the pandemic,,"TV, Laptop","Spend time with your partner/friends/family, Pass the time","Platform recommendations, Friends recommendationd",
18/04/2022 20.04.41,Netflix,24-29,Female,Employed,Spain,I live by myself,,,,,,,,,,,7,6,6,4,3,5,7,7,6,4,6,7,7,7,4,5,5,4,6,5,4,5,,,"Before the pandemic started (before February, 2020)",,"Yes, with my family",No,"Yes, I am still a Netflix's user","Movies, TV shows, Documentaries",2,I use Netflix less than the time before the pandemic started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TV, Laptop","Pass the time, Release stress","Title, Platform recommendations, New Release",
18/04/2022 20.10.41,Netflix,24-29,Female,Student,Israel,I share a flat with roommates,,,,,,,,,,,6,6,6,7,4,5,7,7,7,6,7,7,7,7,5,6,6,6,6,6,7,6,,,"Before the pandemic started (before February, 2020)",Not applicable,"Yes, with my family","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows, Documentaries, Animated films / Cartoons",3,I use Netflix more since the pandemic started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laptop, Smartphone","Pass the time, Release stress","Cast, Platform recommendations, Friends' recommendation, New Release",
18/04/2022 20.14.02,Both platforms,,,,,,,,,,,18-23,Female,Student,Italy,I share a flat with roommates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,6,7,5,6,7,7,7,5,7,7,7,7,6,7,4,4,4,5,7,,,"Before the pandemic started (before February, 2020)",,"Yes, with my family",No,"Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",4,About the same use before and after the pandemic started,,7,6,5,6,5,6,6,5,6,6,6,7,7,7,7,6,5,4,5,3,3,6,,,"Before the pandemic started (before February, 2020)",,"Yes, with my partner",No,"Yes, I am still a Prime Video's user","Movies, TV shows / series",4,I use Prime Video less than the time before the pandemic started,,"TV, Desktop PC, Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Title, Graphics, Platform recommendations, Friends' recommendation, Top 10",
18/04/2022 20.15.24,Netflix,30-35,Female,Employed,Israel,I live with my spouse or partner,,,,,,,,,,,7,7,7,6,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,7,Addictive,,"Before the pandemic started (before February, 2020)",,"Yes, with my friends, Yes, with my partner","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows, Documentaries",5,About the same use before and after the pandemic started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TV, Smartphone",Pass the time,"Platform recommendations, Friends' recommendation, Top 10",
18/04/2022 20.36.16,Amazon Prime Video,,,,,,36-41,Prefer not to say,Employed,United States of America,I live with my spouse or partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,6,5,6,5,5,5,4,7,7,7,6,6,6,6,6,5,5,6,6,Content that requires subscription to additional channels is not clearly marked,Easy to use especially if you use Prime for other things,"Before the pandemic started (before February, 2020)",Not applicable,"Yes, with my family","Yes, but not the entire fee","Yes, I am still a Prime Video's user","TV shows / series, Animated films / Cartoons",4,About the same use before and after the pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TV, Smartphone","Spend time with your partner/friends/family, Pass the time","Cast, Film director, Graphics",
